location_id,address,city,state,zip_code
182,13200 BLK  AUTUMN DR,SILVER SPRING,MD,20904
183,14900 BLK  CLEESE CT,SILVER SPRING,MD,20906
184,11300 BLK  FERN ST,SILVER SPRING,MD,20902
185,100 BLK  QUINCY ST,CHEVY CHASE,MD,20815
186,11200 BLK  OAK LEAF DR,SILVER SPRING,MD,20901
187,400 BLK  CLAYHALL ST,GAITHERSBURG,MD,20878
188,400 BLK  CAROUSEL CT,GAITHERSBURG,MD,20877
189,19500 BLK  WATERS RD,GERMANTOWN,MD,20874
190,800 BLK  ELLSWORTH DR,SILVER SPRING,MD,20910
191,4800 BLK  WELLINGTON DR,CHEVY CHASE,MD,20815
192,11000 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902
193,900 BLK  PHEASANT RUN DR,GAITHERSBURG,MD,20878
194,800 BLK  WAYNE AVE,SILVER SPRING,MD,20910
195,7100 BLK  WILLOW AVE,TAKOMA PARK,MD,20912
196,3700 BLK  BRIGHTVIEW ST,SILVER SPRING,MD,20902
197,8500 BLK  GEORGIA AVE,SILVER SPRING,MD,20910
198,6300 BLK  GREENTREE RD,BETHESDA,MD,20817
199,4900 BLK  FAIRMONT AVE,BETHESDA,MD,20814
200,6300 BLK  TILDEN LA,ROCKVILLE,MD,20852
